CUST_ID, BALANCE , BALANCE_FREQUENCY , PURCHASES , ONEOFF_PURCHASES , INSTALLMENTS_PURCHASES , CASH_ADVANCE , PURCHASES_FREQUENCY , ONEOFF_PURCHASES_FREQUENCY , PURCHASES_INSTALLMENTS_FREQUENCY , CASH_ADVANCE_FREQUENCY , CASH_ADVANCE_TRX , PURCHASES_TRX , CREDIT_LIMIT , PAYMENTS , MINIMUM_PAYMENTS ,PRC_FULL_PAYMENT,TENURE
C10001,40.9,0.82,95.4,    ,95.4,    ,0.17,    ,0.08,    ,    ,2,"1,000.00",201.8,139.51,0,12
C10002,"3,202.47",0.91,    ,    ,    ,"6,442.95",    ,    ,    ,0.25,4,    ,"7,000.00","4,103.03","1,072.34",0.222222,12
C10003,"2,495.15",1,773.17,773.17,    ,    ,1,1,    ,    ,    ,12,"7,500.00",622.07,627.28,0,12
C10004,"1,666.67",0.64,"1,499.00","1,499.00",    ,205.79,0.08,0.08,    ,0.08,1,1,"7,500.00",    ,,0,12
C10005,817.71,1,16,16,    ,    ,0.08,0.08,    ,    ,    ,1,"1,200.00",678.33,244.79,0,12
C10006,"1,809.83",1,"1,333.28",    ,"1,333.28",    ,0.67,    ,0.58,    ,    ,8,"1,800.00","1,400.06","2,407.25",0,12
C10007,627.26,1,"7,091.01","6,402.63",688.38,    ,1,1,1,    ,    ,64,"13,500.00","6,354.31",198.07,1,12
C10008,"1,823.65",1,436.2,    ,436.2,    ,1,    ,1,    ,    ,12,"2,300.00",679.07,532.03,0,12
C10009,"1,014.93",1,861.49,661.49,200,    ,0.33,0.08,0.25,    ,    ,5,"7,000.00",688.28,311.96,0,12
C10010,152.23,0.55,"1,281.60","1,281.60",    ,    ,0.17,0.17,    ,    ,    ,3,"11,000.00","1,164.77",100.3,0,12
C10011,"1,293.12",1,920.12,    ,920.12,    ,1,    ,1,    ,    ,12,"1,200.00","1,083.30","2,172.70",0,12
C10012,630.79,0.82,"1,492.18","1,492.18",    ,    ,0.25,0.25,    ,    ,    ,6,"2,000.00",705.62,155.55,0,12
C10013,"1,516.93",1,"3,217.99","2,500.23",717.76,    ,1,0.25,0.92,    ,    ,26,"3,000.00",608.26,490.21,0.25,12
C10014,921.69,1,"2,137.93",419.96,"1,717.97",    ,0.75,0.17,0.75,    ,    ,26,"7,500.00","1,655.89",251.14,0.083333,12
C10015,"2,772.77",1,    ,    ,    ,346.81,    ,    ,    ,0.08,1,    ,"3,000.00",805.65,989.96,0,12
C10016,"6,886.21",1,"1,611.70",    ,"1,611.70","2,301.49",0.5,    ,0.5,0.17,4,11,"8,000.00","1,993.44","2,109.91",0,12
C10017,"2,072.07",0.88,    ,    ,    ,"2,784.27",    ,    ,    ,0.25,3,    ,"3,000.00",391.97,376.58,0,8
C10018,41.09,0.45,519,    ,519,    ,0.42,    ,0.33,    ,    ,8,"2,500.00",254.59,73.2,0.25,12
C10019,"1,989.07",1,504.35,166,338.35,    ,0.67,0.08,0.58,    ,    ,9,"13,000.00","1,720.84",744.61,0,12
C10020,"3,577.97",1,398.64,    ,398.64,    ,1,    ,1,    ,    ,12,"4,000.00","1,053.98","12,465.55",0,12
C10021,"2,016.68",1,176.68,    ,176.68,    ,0.67,    ,0.67,    ,    ,8,"2,000.00",223.07,"13,557.30",0,12
C10022,"6,369.53",1,"6,359.95","5,910.04",449.91,229.03,1,0.92,1,0.33,6,92,"11,250.00","2,077.96","1,659.78",0,12
C10023,132.34,0.64,815.9,    ,815.9,    ,1,    ,1,    ,    ,17,"1,800.00","2,359.63",86.33,0,12
C10024,"3,800.15",0.82,"4,248.35","3,454.56",793.79,"7,974.42",1,0.08,0.92,0.33,13,13,"9,000.00","9,479.04","1,425.43",0,12
C10025,"5,368.57",1,    ,    ,    ,798.95,    ,    ,    ,0.36,4,    ,"6,000.00","1,422.73","1,657.00",0,11
C10026,169.78,1,399.6,    ,399.6,    ,1,    ,1,    ,    ,12,"3,000.00",215.31,163.01,0,12
C10027,"1,615.97",1,102,102,    ,244.84,0.17,0.17,    ,0.25,5,2,"1,700.00",890.18,971.18,0,12
C10028,125.69,1,233.28,    ,233.28,    ,1,    ,1,    ,    ,12,"1,000.00",207.77,164.75,0,12
