type,state,regiment_or_battery,brigade,division,corps,army,july1_Commander,Cdr_casualty,men,killed,wounded,captured,missing,total_casualties,3inch_rifles,4.5inch_rifles,10lb_parrots,12lb_howitzers,12lb_napoleons,6lb_howitzers,24lb_howitzers,20lb_parrots,12lb_whitworths,14lb_rifles,total_guns
Infantry,Indiana,19th,Meredith,Wadsworth,Reynolds,Union,COL Samuel Williams,no,308,33,126,2,52,213,0,0,0,0,0,0,0,0,0,0,0
Infantry,Michigan,24th,Meredith,Wadsworth,Reynolds,Union,COL Henry Morrow,wounded,496,96,186,13,76,371,0,0,0,0,0,0,0,0,0,0,0
Infantry,Wisconsin,2nd,Meredith,Wadsworth,Reynolds,Union,COL Lucius Fairchild,wounded,302,45,135,18,42,240,0,0,0,0,0,0,0,0,0,0,0
Infantry,Wisconsin,6th,Meredith,Wadsworth,Reynolds,Union,LTC Rufus Dawes,no,344,39,110,3,22,174,0,0,0,0,0,0,0,0,0,0,0
Infantry,Wisconsin,7th,Meredith,Wadsworth,Reynolds,Union,COL William Robinson,wounded-captured,364,37,102,3,43,185,0,0,0,0,0,0,0,0,0,0,0
Infantry,Indiana,7th,Cutler,Wadsworth,Reynolds,Union,COL Ira Grover,no,434,2,4,0,3,9,0,0,0,0,0,0,0,0,0,0,0
Infantry,New York,76th,Cutler,Wadsworth,Reynolds,Union,MAJ Andrew Grover,killed,375,53,122,6,35,216,0,0,0,0,0,0,0,0,0,0,0
Infantry,New York,"84th,  14th Brooklyn",Cutler,Wadsworth,Reynolds,Union,COL Edward Fowler,no,318,25,94,2,97,218,0,0,0,0,0,0,0,0,0,0,0
Infantry,New York,95th,Cutler,Wadsworth,Reynolds,Union,COL George Biddle,wounded,241,11,63,1,42,117,0,0,0,0,0,0,0,0,0,0,0
Infantry,New York,147th,Cutler,Wadsworth,Reynolds,Union,LTC Francis Miller,wounded,380,80,124,9,71,284,0,0,0,0,0,0,0,0,0,0,0
Infantry,Pennsylvania,56th,Cutler,Wadsworth,Reynolds,Union,COL William Hofmann,no,252,21,52,0,56,129,0,0,0,0,0,0,0,0,0,0,0
Infantry,Maine,16th,Paul,Robinson,Reynolds,Union,COL Charles Tilden,captured,298,25,46,13,157,241,0,0,0,0,0,0,0,0,0,0,0
Infantry,Massachusetts,13th,Paul,Robinson,Reynolds,Union,COL Samuel Leonard,wounded,284,24,60,7,105,196,0,0,0,0,0,0,0,0,0,0,0
Infantry,New York,94th,Paul,Robinson,Reynolds,Union,COL Adrian Root,wounded-captured,411,17,38,21,164,240,0,0,0,0,0,0,0,0,0,0,0
Infantry,New York,104th,Paul,Robinson,Reynolds,Union,COL Gilbert Prey,no,286,32,73,5,84,194,0,0,0,0,0,0,0,0,0,0,0
Infantry,Pennsylvania,107th,Paul,Robinson,Reynolds,Union,LTC James MacThomson,wounded,255,21,58,1,91,171,0,0,0,0,0,0,0,0,0,0,0
Infantry,Massachusetts,12th,Baxter,Robinson,Reynolds,Union,COL James Bates,wounded,261,13,45,3,66,127,0,0,0,0,0,0,0,0,0,0,0
Infantry,New York,"83rd,  9th Militia",Baxter,Robinson,Reynolds,Union,LTC Joseph Meosch,no,199,7,21,2,62,92,0,0,0,0,0,0,0,0,0,0,0
Infantry,New York,97th,Baxter,Robinson,Reynolds,Union,COL Charles Wheelock,wounded,236,19,34,5,77,135,0,0,0,0,0,0,0,0,0,0,0
